dataset,classifier,meta_model,threshold,selected_resampling,predicted_delta_for_selection,baseline_macro_f1,selected_macro_f1,oracle_best_macro_f1,selected_improvement_vs_baseline,oracle_improvement_vs_baseline,gap_to_oracle,selected_runtime_seconds,full_evaluation_runtime_seconds,savings_seconds,savings_percent,is_no_resampling,improves_over_baseline,matches_oracle
segment0,logistic_regression,ridge,0.005,none,-0.045654807782614215,0.9946556506999986,0.9946556506999986,0.9946556506999986,0.0,0.0,0.0,0.3763151000000002,5.788029100000001,5.411714000000001,93.49838963318274,True,False,True
shuttle-c0-vs-c4,logistic_regression,ridge,0.005,none,-0.1190084700235382,0.9978126849919576,0.9978126849919576,0.9978126849919576,0.0,0.0,0.0,0.5004019,3.4081883999999985,2.9077864999999985,85.31765732199545,True,False,True
vehicle2,logistic_regression,ridge,0.005,none,-0.035228987447780025,0.942049967139062,0.942049967139062,0.9518336381687104,0.0,0.009783671029648389,0.009783671029648389,0.3685033000000004,2.9005068000000014,2.532003500000001,87.29520992676176,True,False,False
vowel0,logistic_regression,ridge,0.005,smote,0.036659581599894464,0.8552891556541312,0.7964026023727517,0.8552891556541312,-0.05888655328137948,0.0,0.05888655328137948,0.1878190999999986,2.2967455999999977,2.108926499999999,91.82238119885811,False,False,False
wisconsin,logistic_regression,ridge,0.005,adasyn,0.03224435841752438,0.9677556415824756,0.9634355542624382,0.9680602319491208,-0.0043200873200374135,0.00030459036664520767,0.004624677686682621,0.1723124,1.2072141000000007,1.0349017000000007,85.72644239327558,False,False,False
yeast1,logistic_regression,ridge,0.005,none,-0.017305914591118854,0.6456136985304575,0.6456136985304575,0.6832967627521116,0.0,0.03768306422165413,0.03768306422165413,0.3021811999999997,2.0565516000000006,1.7543704000000009,85.3064129292939,True,False,False
ecoli-0_vs_1,logistic_regression,ridge,0.01,adasyn,0.020102339181286788,0.9798976608187132,0.9702058504875406,0.9849695975951356,-0.009691810331172612,0.00507193677642237,0.014763747107594982,0.1576374999999998,1.0172460999999973,0.8596085999999975,84.50350411763681,False,False,False
glass1,logistic_regression,ridge,0.01,none,-0.04217173416469022,0.5015185021376971,0.5015185021376971,0.61023457900858,0.0,0.10871607687088292,0.10871607687088292,0.1123254,1.0580544999999988,0.9457290999999988,89.38377937998466,True,False,False
haberman,logistic_regression,ridge,0.01,none,-0.061728509278843824,0.5344040574809805,0.5344040574809805,0.6425233644859814,0.0,0.10811930700500083,0.10811930700500083,0.0950548000000002,0.8455914999999994,0.7505366999999992,88.75878009653594,True,False,False
iris0,logistic_regression,ridge,0.01,none,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.2810267000000017,1.3112554,1.0302286999999983,78.56811876618379,True,False,True
page-blocks0,logistic_regression,ridge,0.01,smote,0.13428307146064322,0.847852850384496,0.8268462492184768,0.847852850384496,-0.021006601166019157,0.0,0.021006601166019157,0.8389156999999994,9.3963722,8.5574565,91.07191922431511,False,False,False
pima,logistic_regression,ridge,0.01,smote_tomek,0.021642501421750726,0.737580065691888,0.7312941855432118,0.737580065691888,-0.0062858801486762594,0.0,0.0062858801486762594,0.2450669999999997,1.3584931999999998,1.1134262000000001,81.96038081015055,False,False,False
segment0,logistic_regression,ridge,0.01,none,-0.045654807782614215,0.9946556506999986,0.9946556506999986,0.9946556506999986,0.0,0.0,0.0,0.3763151000000002,5.788029100000001,5.411714000000001,93.49838963318274,True,False,True
shuttle-c0-vs-c4,logistic_regression,ridge,0.01,none,-0.1190084700235382,0.9978126849919576,0.9978126849919576,0.9978126849919576,0.0,0.0,0.0,0.5004019,3.4081883999999985,2.9077864999999985,85.31765732199545,True,False,True
vehicle2,logistic_regression,ridge,0.01,none,-0.035228987447780025,0.942049967139062,0.942049967139062,0.9518336381687104,0.0,0.009783671029648389,0.009783671029648389,0.3685033000000004,2.9005068000000014,2.532003500000001,87.29520992676176,True,False,False
vowel0,logistic_regression,ridge,0.01,smote,0.036659581599894464,0.8552891556541312,0.7964026023727517,0.8552891556541312,-0.05888655328137948,0.0,0.05888655328137948,0.1878190999999986,2.2967455999999977,2.108926499999999,91.82238119885811,False,False,False
wisconsin,logistic_regression,ridge,0.01,adasyn,0.03224435841752438,0.9677556415824756,0.9634355542624382,0.9680602319491208,-0.0043200873200374135,0.00030459036664520767,0.004624677686682621,0.1723124,1.2072141000000007,1.0349017000000007,85.72644239327558,False,False,False
yeast1,logistic_regression,ridge,0.01,none,-0.017305914591118854,0.6456136985304575,0.6456136985304575,0.6832967627521116,0.0,0.03768306422165413,0.03768306422165413,0.3021811999999997,2.0565516000000006,1.7543704000000009,85.3064129292939,True,False,False
ecoli-0_vs_1,logistic_regression,ridge,0.015,adasyn,0.020102339181286788,0.9798976608187132,0.9702058504875406,0.9849695975951356,-0.009691810331172612,0.00507193677642237,0.014763747107594982,0.1576374999999998,1.0172460999999973,0.8596085999999975,84.50350411763681,False,False,False
glass1,logistic_regression,ridge,0.015,none,-0.04217173416469022,0.5015185021376971,0.5015185021376971,0.61023457900858,0.0,0.10871607687088292,0.10871607687088292,0.1123254,1.0580544999999988,0.9457290999999988,89.38377937998466,True,False,False
haberman,logistic_regression,ridge,0.015,none,-0.061728509278843824,0.5344040574809805,0.5344040574809805,0.6425233644859814,0.0,0.10811930700500083,0.10811930700500083,0.0950548000000002,0.8455914999999994,0.7505366999999992,88.75878009653594,True,False,False
iris0,logistic_regression,ridge,0.015,none,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.2810267000000017,1.3112554,1.0302286999999983,78.56811876618379,True,False,True
page-blocks0,logistic_regression,ridge,0.015,smote,0.13428307146064322,0.847852850384496,0.8268462492184768,0.847852850384496,-0.021006601166019157,0.0,0.021006601166019157,0.8389156999999994,9.3963722,8.5574565,91.07191922431511,False,False,False
pima,logistic_regression,ridge,0.015,smote_tomek,0.021642501421750726,0.737580065691888,0.7312941855432118,0.737580065691888,-0.0062858801486762594,0.0,0.0062858801486762594,0.2450669999999997,1.3584931999999998,1.1134262000000001,81.96038081015055,False,False,False
segment0,logistic_regression,ridge,0.015,none,-0.045654807782614215,0.9946556506999986,0.9946556506999986,0.9946556506999986,0.0,0.0,0.0,0.3763151000000002,5.788029100000001,5.411714000000001,93.49838963318274,True,False,True
shuttle-c0-vs-c4,logistic_regression,ridge,0.015,none,-0.1190084700235382,0.9978126849919576,0.9978126849919576,0.9978126849919576,0.0,0.0,0.0,0.5004019,3.4081883999999985,2.9077864999999985,85.31765732199545,True,False,True
vehicle2,logistic_regression,ridge,0.015,none,-0.035228987447780025,0.942049967139062,0.942049967139062,0.9518336381687104,0.0,0.009783671029648389,0.009783671029648389,0.3685033000000004,2.9005068000000014,2.532003500000001,87.29520992676176,True,False,False
vowel0,logistic_regression,ridge,0.015,smote,0.036659581599894464,0.8552891556541312,0.7964026023727517,0.8552891556541312,-0.05888655328137948,0.0,0.05888655328137948,0.1878190999999986,2.2967455999999977,2.108926499999999,91.82238119885811,False,False,False
wisconsin,logistic_regression,ridge,0.015,adasyn,0.03224435841752438,0.9677556415824756,0.9634355542624382,0.9680602319491208,-0.0043200873200374135,0.00030459036664520767,0.004624677686682621,0.1723124,1.2072141000000007,1.0349017000000007,85.72644239327558,False,False,False
yeast1,logistic_regression,ridge,0.015,none,-0.017305914591118854,0.6456136985304575,0.6456136985304575,0.6832967627521116,0.0,0.03768306422165413,0.03768306422165413,0.3021811999999997,2.0565516000000006,1.7543704000000009,85.3064129292939,True,False,False
ecoli-0_vs_1,logistic_regression,ridge,0.02,adasyn,0.020102339181286788,0.9798976608187132,0.9702058504875406,0.9849695975951356,-0.009691810331172612,0.00507193677642237,0.014763747107594982,0.1576374999999998,1.0172460999999973,0.8596085999999975,84.50350411763681,False,False,False
glass1,logistic_regression,ridge,0.02,none,-0.04217173416469022,0.5015185021376971,0.5015185021376971,0.61023457900858,0.0,0.10871607687088292,0.10871607687088292,0.1123254,1.0580544999999988,0.9457290999999988,89.38377937998466,True,False,False
haberman,logistic_regression,ridge,0.02,none,-0.061728509278843824,0.5344040574809805,0.5344040574809805,0.6425233644859814,0.0,0.10811930700500083,0.10811930700500083,0.0950548000000002,0.8455914999999994,0.7505366999999992,88.75878009653594,True,False,False
iris0,logistic_regression,ridge,0.02,none,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.2810267000000017,1.3112554,1.0302286999999983,78.56811876618379,True,False,True
page-blocks0,logistic_regression,ridge,0.02,smote,0.13428307146064322,0.847852850384496,0.8268462492184768,0.847852850384496,-0.021006601166019157,0.0,0.021006601166019157,0.8389156999999994,9.3963722,8.5574565,91.07191922431511,False,False,False
pima,logistic_regression,ridge,0.02,smote_tomek,0.021642501421750726,0.737580065691888,0.7312941855432118,0.737580065691888,-0.0062858801486762594,0.0,0.0062858801486762594,0.2450669999999997,1.3584931999999998,1.1134262000000001,81.96038081015055,False,False,False
segment0,logistic_regression,ridge,0.02,none,-0.045654807782614215,0.9946556506999986,0.9946556506999986,0.9946556506999986,0.0,0.0,0.0,0.3763151000000002,5.788029100000001,5.411714000000001,93.49838963318274,True,False,True
shuttle-c0-vs-c4,logistic_regression,ridge,0.02,none,-0.1190084700235382,0.9978126849919576,0.9978126849919576,0.9978126849919576,0.0,0.0,0.0,0.5004019,3.4081883999999985,2.9077864999999985,85.31765732199545,True,False,True
vehicle2,logistic_regression,ridge,0.02,none,-0.035228987447780025,0.942049967139062,0.942049967139062,0.9518336381687104,0.0,0.009783671029648389,0.009783671029648389,0.3685033000000004,2.9005068000000014,2.532003500000001,87.29520992676176,True,False,False
vowel0,logistic_regression,ridge,0.02,smote,0.036659581599894464,0.8552891556541312,0.7964026023727517,0.8552891556541312,-0.05888655328137948,0.0,0.05888655328137948,0.1878190999999986,2.2967455999999977,2.108926499999999,91.82238119885811,False,False,False
wisconsin,logistic_regression,ridge,0.02,adasyn,0.03224435841752438,0.9677556415824756,0.9634355542624382,0.9680602319491208,-0.0043200873200374135,0.00030459036664520767,0.004624677686682621,0.1723124,1.2072141000000007,1.0349017000000007,85.72644239327558,False,False,False
yeast1,logistic_regression,ridge,0.02,none,-0.017305914591118854,0.6456136985304575,0.6456136985304575,0.6832967627521116,0.0,0.03768306422165413,0.03768306422165413,0.3021811999999997,2.0565516000000006,1.7543704000000009,85.3064129292939,True,False,False
ecoli-0_vs_1,decision_tree,ridge,0.0,none,-0.007541403598994356,0.9702058504875406,0.9702058504875406,0.9899488304093568,0.0,0.019742979921816173,0.019742979921816173,0.1590112999999995,0.7773905000000008,0.6183792000000012,79.54550512258648,True,False,False
glass1,decision_tree,ridge,0.0,smote_enn,0.009915750044364957,0.7609506833036244,0.6935513673318552,0.7609506833036244,-0.06739931597176918,0.0,0.06739931597176918,0.1206399000000004,0.7398563999999996,0.6192164999999993,83.69414659385248,False,False,False
haberman,decision_tree,ridge,0.0,none,0.02341348838559343,0.5658193101802125,0.5658193101802125,0.6397058823529411,0.0,0.07388657217272865,0.07388657217272865,0.0980717999999996,0.6776106999999986,0.579538899999999,85.52682240702518,True,False,False
iris0,decision_tree,ridge,0.0,none,-0.0036108355281896376,1.0,1.0,1.0,0.0,0.0,0.0,0.1019786000000024,0.9672043000000058,0.8652257000000034,89.45635374036264,True,False,True
page-blocks0,decision_tree,ridge,0.0,smote_enn,0.028831816213177763,0.9124443797226672,0.9041625104634836,0.9124443797226672,-0.008281869259183616,0.0,0.008281869259183616,2.3035964,7.595065100000003,5.291468700000003,69.66982679318971,False,False,False
pima,decision_tree,ridge,0.0,none,-0.0028173797957471436,0.6715751896474788,0.6715751896474788,0.7012961643040045,0.0,0.02972097465652579,0.02972097465652579,0.1650589,1.4682680999999986,1.3032091999999986,88.75825879483453,True,False,False
